English Name,Tamil Name
PMD - PARROTA,PMD - பரோட்டா
PMD - PERIYA IDIYAPPAM,PMD - பெரிய இடியாப்பம்
PMD - PIDI KOZHUKATTAI,PMD - பிடி கொழுக்கட்டை
PMD - PIDI KOZHUKATTAI Pudhina,PMD - பிடி கொழுக்கட்டை புதினா
PMD - PIDI KOZHUKATTAI TOMATO,PMD - பிடி கொழுக்கட்டை தக்காளி
PMD - PODI UTHAPPAM,PMD - பொடி ஊத்தப்பம்
PMD - Paneer Masal Dosa,PMD - பன்னீர் மசால் தோசை
PMD - Plain Kuzhi Idiyappam,PMD - ப்ளெய்ன் குழி இடியாப்பம்
PMD - Plain Parota,PMD - ப்ளெய்ன் பரோட்டா
PMD - Podi Dosai,PMD - பொடி தோசை
PMD - STUFFED IDLY,PMD - ஸ்டஃப்டு இட்லி
PMD - T.Rice Masal Dosai,PMD - T.Rice மசால் தோசை
PMD - Tomato Uthappam (RS),PMD - தக்காளி ஊத்தப்பம் (ரூ)
PMD - Turkish Paratha,PMD - துருக்கிய பரோட்டா
PMD - VEG UTHAPPAM,PMD - காய்கறி ஊத்தப்பம்
PMD - Varagu Masal Dosai,PMD - வரகு மசால் தோசை
PMD- Kanchipuram Idly,PMD - காஞ்சிபுரம் இட்லி
PMD- Tomato Idiyappam,PMD - தக்காளி இடியாப்பம்
PMD- appam Coconut Milk,PMD - அப்பம் தேங்காய் பால்
PMD-Appam,PMD - அப்பம்
PMD-Beetroot Idiyappam,PMD - பீட்ரூட் இடியாப்பம்
PMD-Garlic Podi Mini Idly,PMD - பூண்டு பொடி மினி இட்லி
PMD-Ghee Dosa,PMD - நெய் தோசை
PMD-M.Samba Sweet Kozhukattai,PMD - M.Samba இனிப்பு கொழுக்கட்டை
PMD-M.Samba Uppu Kozhukattai,PMD - M.Samba உப்பு கொழுக்கட்டை
PMD-ON Garlic Podi Uthappam,PMD - பூண்டு பொடி ஊத்தப்பம்
"PMD-Paneer,Veg Uthappam","PMD - பன்னீர்,காய்கறி ஊத்தப்பம்"
PMD-Podi Mini Idly,PMD - பொடி மினி இட்லி
PMD-Pudhina Idiyappam,PMD - புதினா இடியாப்பம்
PMD-Thooyamalli Idly,PMD - தூயமல்லி இட்லி
PMD-Thooyamalli Mini Idly,PMD - தூயமல்லி மினி இட்லி
PMD-Tradional Rice Thattu Idly,PMD - பாரம்பரிய சாதம் தட்டு இட்லி
PMD-Uthappan,PMD - ஊத்தப்பம்
PODI - IYENGAR VETTU RASA PODI,PODI - ஐயங்கார் வெட்டு ரசம் பொடி
PODI -IDLY PODI NEW,PODI - இட்லி பொடி புதிய
PS-Badam Kathli,PS - பாதாம் கத்லி
PS-Modhagam,PS - மோதகம்
PSW-Coconut Inippu Siyum,PSW - தேங்காய் இனிப்பு சீயம்
PSW-Karkandu Vadai,PSW - கற்கண்டு வடை
PSW-Mavu Urundai,PSW - மாவு உருண்டை
PULI KATTU,புளி கட்டு
Pacchadi - Cluster Beans,Pacchadi - கொத்தவரங்காய் பீன்ஸ்
Pacchadi - Kovakkai Pacchadi,Pacchadi - கோவக்காய் பச்சடி
Pacchadi - Mango Salt,Pacchadi - மாங்காய் உப்பு
"Pacchadi - Mango Salt, Sweet Pacchadi","Pacchadi - மாங்காய் உப்பு, இனிப்பு பச்சடி"
Pacchadi - Mango Sweet,Pacchadi - மாங்காய் இனிப்பு
Pacchadi - Pacchadi,Pacchadi - பச்சடி
Pacchadi - Pagarkai,Pacchadi - பாகற்காய்
"Pacchadi - Palak, Corn","Pacchadi - பாலக், கார்ன்"
Pacchadi - Ridgegourd Pacchadi,Pacchadi - பீர்க்கங்காய் பச்சடி
Pacchadi - Savandi,Pacchadi - சவந்தி
Pacchadi - Sweet Pacchadi,Pacchadi - இனிப்பு பச்சடி
Pacchadi - Tomato Pachadi,Pacchadi - தக்காளி பச்சடி
Pacchadi - Ugadhi,Pacchadi - யுகாதி
Pacchadi - Vellarikaai,Pacchadi - வெள்ளரிக்காய்
"Pacchadi - Vendaikkai, Sundaikkaai","Pacchadi - வெண்டைக்காய், சுண்டக்காய்"
"Pacchadi- Kathari,Malli","Pacchadi - கத்தரிக்காய்,மல்லி"
"Pacchadi- Kathari,Murungai","Pacchadi - கத்தரிக்காய்,முருங்கை"
"Pacchadi- Kudaimilagai, Kondaikadalai","Pacchadi - குடைமிளகாய், கொண்டைக்கடலை"
"Pacchadi- Tomato,Soyabeans Pacchadi","Pacchadi - தக்காளி,சோயாபீன்ஸ் பச்சடி"
Pacchadi- Vendaikkai,Pacchadi - வெண்டைக்காய்
Pacchadi-Bajji Milagai,Pacchadi - பஜ்ஜி மிளகாய்
Pacchadi-Kudai Milagai,Pacchadi - குடை மிளகாய்
"Pacchadi-Murungai,Soya Pachadi","Pacchadi - முருங்கை,சோயா பச்சடி"
Pacchadi-Senaikizhangu,Pacchadi - சேனைக்கிழங்கு
"Pacchadi-Thakkali,Mulai Kattiya Payaru","Pacchadi - தக்காளி,முளை கட்டிய பயறு"
"Pacchadi-Vendaikkai,Soyabean","Pacchadi - வெண்டைக்காய்,சோயாபீன்"
"Pacchadi-maaInji,Kondaikadalai,Kudai Milagai","Pacchadi - மாவா இஞ்சி,கொண்டைக்கடலை,குடை மிளகாய்"
Packing Cost,பேக்கிங் செலவு
Packing Work,பேக்கிங் வேலை
PackingBoxes,பேக்கிங் பெட்டிகள்
Pakoda - Moong Dal,Pakoda - பாசி பருப்பு
Pakoda - Pumpkin,Pakoda - பரங்கிக்காய்
Paper Plate,பேப்பர் தட்டு
Paper Roll,பேப்பர் ரோல்
Parata - Corn,Parata - கார்ன்
Parata - Gobi,Parata - கோபி
Parata - Rajasthani Onion,Parata - ராஜஸ்தானி வெங்காயம்
Parata- Palak Paratha,Parata - பாலக் பரோட்டா
Paratha - Aloo,Paratha - உருளைக்கிழங்கு
Paratha - Paneer,Paratha - பன்னீர்
Paratha - Plain,Paratha - ப்ளெய்ன்
Paratha- Methi,Paratha - வெந்தயக்கீரை
Paratha- Mint,Paratha - புதினா
Paratha- Mixed Veg,Paratha - கலவை காய்கறி
Paratha-Omam,Paratha - ஓமம்
Parruppu Nei,பருப்பு நெய்
Paruppu Nei (Toor Dal),பருப்பு நெய் (துவரம் பருப்பு)
Pasiparuppu Inippu Siyum,பாசிப்பருப்பு இனிப்பு சீயம்
Pasta - Fresh Cream Pasta,Pasta - புதிய கிரீம் பாஸ்தா
Pasta - Masala,Pasta - மசாலா
Pasta - Tomato Pasta,Pasta - தக்காளி பாஸ்தா
Pasta-White,Pasta - வெள்ளை
Pazha Payasam (Mudhal Naal),பழ பாயாசம் (முதல் நாள்)
Pickle - Frresh Mango Pickle,Pickle - புதிய மாங்காய் ஊறுகாய்
Pickle - Mango Thokku,Pickle - மாங்காய் தொக்கு
Pickle Box,ஊறுகாய் பெட்டி
Pickle-Garlic Pickle,Pickle - பூண்டு ஊறுகாய்
Pickle-Onion Thokku,Pickle - வெங்காயம் தொக்கு
Plain Chapathy,ப்ளெய்ன் சப்பாத்தி
Plate- Pakku Mara Plate,Plate - பாக்கு மர தட்டு
Plate-Sugarcane Plate,Plate - கரும்பு தட்டு
Podi - Andhra Paruppu Podi & Ghee,Podi - ஆந்திரா பருப்பு பொடி & நெய்
Podi - Ellu Podi,Podi - எள்ளு பொடி
Podi Mini Idly Tempering,பொடி மினி இட்லி தாளிப்பு
Podi Yennai,பொடி எண்ணெய்
Podi for Curry,பொடி க்கான கறி
Podi-Idly Podi,Podi - இட்லி பொடி
"Poha - Cucumber, Mango Poha","Poha - வெள்ளரிக்காய், மாங்காய் அவல்"
Poha - Poha,Poha - அவல்
Poha - Veg,Poha - காய்கறி
Pongal (WOG),பொங்கல் ((வெங்காயம் பூண்டு இல்லாமல்))
Pongal - Ainthu Arisi pongal,Pongal - ஐந்து அரிசி பொங்கல்
Pongal - Kuthiraivali Pongal,Pongal - குதிரைவாலி பொங்கல்
Pongal - Masala Pongal,Pongal - மசாலா பொங்கல்
Pongal - Rava Pongal,Pongal - ரவா பொங்கல்
Pongal - Thinai Pongal,Pongal - தினை பொங்கல்
Pongal - Veg. Rava Pongal,Pongal - Veg. ரவா பொங்கல்
Pongal - Vegetable Kuthiraivali Pongal,Pongal - காய்கறி குதிரைவாலி பொங்கல்
Pongal - Vegetable Pongal,Pongal - காய்கறி பொங்கல்
Pongal - kattuyanam,Pongal - காட்டுயானம்
Pongal-Company Pongal,Pongal - கம்பெனி பொங்கல்
Pongal-Pongal,Pongal - பொங்கல்
Poori - Ajwain Poori,Poori - ஓமம் பூரி
Poori - Palak Poori,Poori - பாலக் பூரி
Poori- Mint Poori,Poori - புதினா பூரி
Poori- Pumpkin Poori,Poori - பரங்கிக்காய் பூரி
Portion Meal Tray,மீல்ஸ் தட்டு
Puliyodharai Podi,புளியோதரை பொடி
Puttu - Chinna Cholam (Sugar),Puttu - சின்ன சோளம் (சர்க்கரை)
Puttu - Chinna Cholam Puttu,Puttu - சின்ன சோளம் புட்டு
Puttu - Kambu Puttu,Puttu - கம்பு புட்டு
Puttu - White Urad Dhal,Puttu - வெள்ளை உளுந்து பருப்பு
RICE KANJI,சாதம் கஞ்சி
Raita - Beetroot Raita,Raita - பீட்ரூட் ராய்த்தா
Raita - Company Thair Pacchadi,Raita - கம்பெனி தயிர் பச்சடி
Raita - Keerai,Raita - கீரை
Raita - Mixed Veg,Raita - கலவை காய்கறி
Raita - Onion Thayir Pachadi,Raita - வெங்காயம் தயிர் பச்சடி
Raita - Vendakaai Thayir Pachadi,Raita - வெண்டைக்காய் தயிர் பச்சடி
Raita- Boondhi Raita,Raita - பூந்தி ராய்த்தா
Raita-Boondhi Raita பூன்தி,Raita - பூந்தி ராய்த்தா பூன்தி
Rangoli Mini Idly Beetroot,ரங்கோலி மினி இட்லி பீட்ரூட்
Rangoli Mini Idly Green,ரங்கோலி மினி இட்லி பச்சை
Rangoli Mini Idly Palak,ரங்கோலி மினி இட்லி பாலக்
Rangoli Mini Idly Tomato,ரங்கோலி மினி இட்லி தக்காளி
Rasam - Beetroot Rasam,Rasam - பீட்ரூட் ரசம்
Rasam - Ginger Rasam,Rasam - இஞ்சி ரசம்
Rasam - Hara,Rasam - பச்சை
Rasam - Kalyana Veetu Rasam,Rasam - கல்யாண வீட்டு ரசம்
Rasam - Nellikaai,Rasam - நெல்லிக்காய்
Rasam - Ponnanganni Keerai Rasam,Rasam - பொன்னாங்கண்ணி கீரை ரசம்
Rasam - Poondu Rasam,Rasam - பூண்டு ரசம்
Rasam - Rasam,Rasam - ரசம்
Rasam- Elumichai Rasam,Rasam - எலுமிச்சை ரசம்
Rasam- Maangaai Rasam,Rasam - மாங்காய் ரசம்
Rasam- Malli Rasam,Rasam - மல்லி ரசம்
Rasam- Mulaikkattiya Kollu Rasam,Rasam - முளைகட்டிய கொள்ளு ரசம்
Rasam- Mysore Rasam,Rasam - மைசூர் ரசம்
Rasam- Omam Rasam,Rasam - ஓமம் ரசம்
Rasam- Pudina Rasam,Rasam - புதினா ரசம்
Rasam-Kollu Rasam,Rasam - கொள்ளு ரசம்
Rasam-Mangai RAsam Aravai,Rasam - மாங்காய் ரசம் அரைவை
Rasam-Mangai Rasam Thalip[pu,Rasam - மாங்காய் ரசம் Thalip[pu
Rasam-Mysore Rasam Podi,Rasam - மைசூர் ரசம் பொடி
Rasam-Pineapple Rasam,Rasam - அன்னாசி ரசம்
Rasamalai,ரசமலாய்
Rice - Online Ponni,Rice - ஆன்லைன் பொன்னி
Rice - Ponni Boiled Rice,Rice - பொன்னி வேகவைத்த சாதம்
S S Plate,எஸ்.எஸ் தட்டு
SW - PS - Laddu,SW - PS - லட்டு
SW -BS - Kavuni Arisi,SW -BS - கவுனி அரிசி
SW BS Kummayam,SW BS - கும்மாயம்
SW-BS - Kesari,SW-BS - கேசரி
SW-BS - Pineapple Kesari,SW-BS - அன்னாசி கேசரி
SW-BS - Pineapple Kesari (Prepared),SW-BS - அன்னாசி கேசரி (தயாரிக்கப்பட்டது)
SW-BS - Puttu Tempering,SW-BS - புட்டு தாளிப்பு
SW-BS Kummayam Mavu,SW - கும்மாயம் மாவு
SW-BS- Fruit Kesari,SW-BS - பழ கேசரி
SW-BS-Basundhi,SW-BS - பாசுந்தி
SW-BS-Fruit Custard,SW-BS - பழ கஸ்டர்ட்
SW-BS-Karuppatti Ukkarai,SW-BS - கருப்பட்டி உக்காரை
SW-BS-Kavuni Arisi 2,SW-BS - கவுனி அரிசி 2
SW-BS-Paal Kozhukattai,SW-BS - பால் கொழுக்கட்டை
SW-BS-Phirni,SW-BS - பிர்னி
SW-BS-Pineapple Kavuni Arisi,SW-BS - அன்னாசி கவுனி அரிசி
SW-BS-Ragi Puttu,SW-BS - கேழ்வரகு புட்டு
SW-BS-Sweet Sevai Keppai (Sugar),SW-BS - இனிப்பு சேவை கேப்பை (சர்க்கரை)
SW-BS-Sweet Sevai Thinai,SW-BS - இனிப்பு சேவை தினை
SW-BS-Sweet Sevai Varagu,SW-BS - இனிப்பு சேவை வரகு
SW-BS-Sweet Sevai Wheat,SW-BS - இனிப்பு சேவை கோதுமை
SW-BS-Sweet Sevau Keppai,SW-BS - இனிப்பு சேவை கேப்பை
SW-BS-VELLAI KAVUNI ARISI,SW-BS - வெள்ளை கவுனி அரிசி
SW-BS-Wheat Halwa,SW-BS - கோதுமை அல்வா
SW-PS - KAAJU KATHLI,SW-PS - முந்திரி கத்லி
SW-PS - Kaju Kathli,SW-PS - முந்திரி கத்லி
SW-PS - Rasmalai,SW-PS - ரசமலாய்
SW-PS- Coconut Burfi,SW-PS - தேங்காய் பர்பி
SW-PS- Paal Paniyaaram,SW-PS - பால் பணியாரம்
SW-PS- Paal Paniyaram ONLY,SW-PS - பால் பணியாரம் மட்டும்
SW-PS-Dry Fruit Laddu,SW-PS - உலர் பழ லட்டு
SW-PS-Karupatti Kaaju Kathli,SW-PS - கருப்பட்டி முந்திரி கத்லி
SW-PS-LADDU NEW,SW-PS - லட்டு புதிய
SW-PS-MINI JAMUN,SW-PS - மினி ஜாமூன்
SW-PS-Order Gulaub Jamun,SW-PS - ஆர்டர் குலாப் ஜாமூன்
SW-PS-Paal Paniyaara Badam paal,SW-PS - பால் பணியார பாதாம் பால்
SW-PS-Paal Paniyaaram Mavu,SW-PS - பால் பணியாரம் மாவு
SW-PS-Raagi Laddu,SW-PS - கேழ்வரகு லட்டு
SW-PS-Shahi Tukda,SW-PS - ஷாஹி துண்டுகள்
SW-PS-Shahi Tukda Rabri,SW-PS - ஷாஹி துண்டுகள் ரப்ரி
Salad - Kosambari,Salad - கோசம்பரி
Salad - Masala Sweet Corn Salad,Salad - மசாலா இனிப்பு கார்ன் சாலட்
Salad - Sweet Corn Salad,Salad - இனிப்பு கார்ன் சாலட்
Salad-Green Salad,Salad - பச்சை சாலட்
Sambar - Avarakkai Sambar,Sambar - அவரைக்காய் சாம்பார்
Sambar - Beans Sambar,Sambar - பீன்ஸ் சாம்பார்
Sambar - Carrot,Sambar - கேரட்
Sambar - Kalyana Sambar Mixed Veg,Sambar - கல்யாண சாம்பார் கலவை காய்கறி
Sambar - Kalyana Sambar Thalippu,Sambar - கல்யாண சாம்பார் தாளிப்பு
Sambar - Kalyanan Sambar Aravai,Sambar - கல்யாண சாம்பார் அரைவை
Sambar - Mullangi Sambar,Sambar - முள்ளங்கி சாம்பார்
"Sambar - Murungaikaai, Kudamilagaai","Sambar - முருங்கைக்காய், குடைமிளகாய்"
Sambar- Andhra Sambar,Sambar - ஆந்திரா சாம்பார்
Sambar- Andhra Sambar Aravai,Sambar - ஆந்திரா சாம்பார் அரைவை
Sambar- Katharikkai sambar,Sambar - கத்தரிக்காய் சாம்பார்
"Sambar- Kathirikai,Murungaikai Sambar","Sambar - கத்தரிக்காய்,முருங்கைக்காய் சாம்பார்"
Sambar- Kudaimilagai Sambar,Sambar - குடைமிளகாய் சாம்பார்
Sambar- Poosani Sambar,Sambar - பூசணி சாம்பார்
Sambar- Vendaikai Sambar,Sambar - வெண்டைக்காய் சாம்பார்
"Sambar-Carrot, Murungai Sambar","Sambar - கேரட், முருங்கை சாம்பார்"
Sambar-Chow Chow Sambar,Sambar - சௌசௌ சௌசௌ சாம்பார்
Sambar-Kalyana Sambar Pala Kai,Sambar - கல்யாண சாம்பார் பலா காய்
Sambar-Kalyana Sambar Poosani,Sambar - கல்யாண சாம்பார் பூசணி
"Sambar-Katharikkai,Poosani Sambar","Sambar - கத்தரிக்காய்,பூசணி சாம்பார்"
Sambar-Mulai Keera Sambar Aravai,Sambar - முளை கீரை சாம்பார் அரைவை
Sambar-Mulai Keerai Sambar,Sambar - முளை கீரை சாம்பார்
Sambar-Murungai kai Sambar,Sambar - முருங்கை காய் சாம்பார்
Sambar-Pala kaai Sambar(No Kathiri),Sambar - பலா காய் சாம்பார்(வெங்காயம் இல்லாத கத்தரிக்காய்)
Sambar-Pappu Charu,Sambar - பருப்பு சாறு
Sambar-Pappu Charu Thalippu,Sambar - பருப்பு சாறு தாளிப்பு
Sambar-Suraikkai Sambar,Sambar - சுரைக்காய் சாம்பார்
Sambar-Vazhaithandu Sambar,Sambar - வாழைத்தண்டு சாம்பார்
Sauce - Schezwan,Sauce - செஸ்வான்
Sauce - Sweet Chilly Sauce,Sauce - இனிப்பு மிளகாய் சாஸ்
Sauce Packet,சாஸ் பாக்கெட்
Sauce-Tomato Sauce,Sauce - தக்காளி சாஸ்
Service Accessories,பரிமாறும் உபகரணங்கள்
Service Vessels,பரிமாறும் பாத்திரங்கள்
Serving Persons,பரிமாறும் நபர்கள்
Snack - Boondhi Mixture,Snack - பூந்தி மிக்சர்
Snack - Mixture,Snack - மிக்சர்
Snack-Ribbon Pakoda,Snack - ரிப்பன் பக்கோடா
Snacks - Pori Kadalai,Snacks - பொரி கடலை
Snacks-Thattai,Snacks - தட்டை
Soup - Broccoli Soup,Soup - ப்ரோக்கோலி சூப்
Soup - Cauliflower Soup,Soup - காளிஃபிளவர் சூப்
Soup - Cream of Tomato,Soup - கிரீம் தக்காளி
Soup - Kaai Soup,Soup - காய் சூப்
Soup - Millet Hot and Sour,Soup - சிறுதானியம் சூடான & புளிப்பு
Soup - Minstrone,Soup - மினிஸ்ட்ரோன்
Soup - Ragi,Soup - கேழ்வரகு
Soup - Stock Water,Soup - ஸ்டாக் தண்ணீர்
Soup- Babycorn Chettinad Soup,Soup - பேபி கார்ன் செட்டிநாடு சூப்
Soup- Chettinad Soup Base,Soup - செட்டிநாடு சூப் பேஸ்
Soup- Chettinad Tomato Soup,Soup - செட்டிநாடு தக்காளி சூப்
Soup- Cream Of Vegetable Soup,Soup - கிரீம் காய்கறி சூப்
Soup-Sweet Corn Soup,Soup - இனிப்பு கார்ன் சூப்
Sowcarpet Sweet,சௌகார்பேட்டை இனிப்பு
Spoon,ஸ்பூன்
Sprouts to Soak,முளைகட்டிய பயறு ஊறவைக்க
Staff  இட்லி,Staff - இட்லி
Staff Chutney,Staff - சட்னி
Staff Dosai,Staff - தோசை
Staff Idly,Staff - இட்லி
Staff Kuzhambu,Staff - குழம்பு
Staff Old Mini Idly,Staff - பழைய மினி இட்லி
Staff Tiffin Sambar,Staff - டிபன் சாம்பார்
Staffs Tea,Staffs - தேநீர்
Starter - Baby Corn Pepper Fry,Starter - பேபி கார்ன் மிளகு வறுவல்
Starter - Babycorn Pepper Fry Maavu,Starter - பேபி கார்ன் மிளகு வறுவல் மாவு
Starter - Cauliflower Fry,Starter - காளிஃபிளவர் வறுவல்
Starter - Cheesy Corn Nuggets,Starter - சீஸி கார்ன் நக்கெட்ஸ்
Starter - Chesse Corn Nuggets,Starter - சீஸ் கார்ன் நக்கெட்ஸ்
Starter - Chilly Babycorn,Starter - மிளகாய் பேபி கார்ன்
Starter - Gobi Pepper Fry,Starter - கோபி மிளகு வறுவல்
Starter - Honey Chill Potato,Starter - தேன் குளிர்ந்த உருளைக்கிழங்கு
Starter - Kung Pao Veg Balls,Starter - குங் பாவ் காய்கறி உருண்டை
Starter - Kung Pao Veg Balls Gravy,Starter - குங் பாவ் காய்கறி உருண்டை கிரேவி
Starter - Paneer 65,Starter - பன்னீர் 65
Starter - Paneer Fingers,Starter - பன்னீர் பிங்கர்ஸ்
Starter - Paneer Koftha,Starter - பன்னீர் கோஃப்தா
"Starter - Paneer, Peas Koftha","Starter - பன்னீர், பட்டாணி கோஃப்தா"
"Starter - Paneer, Sweet Corn Koftha","Starter - பன்னீர், இனிப்பு கார்ன் கோஃப்தா"
Starter- Cauliflower Fry Batter,Starter - காளிஃபிளவர் வறுவல் மாவு
Starter-Finger Vada,Starter - பிங்கர் வடை
Starter-Paneer Pockets,Starter - பன்னீர் பாக்கெட்டுகள்
Starter-Paneer Pockets Coating,Starter - பன்னீர் பாக்கெட்டுகள் கோட்டிங்
Subji - Aloo Palak,Subji - உருளைக்கிழங்கு பாலக்
Subji - Aloo Subji,Subji - உருளைக்கிழங்கு சப்ஜி
"Subji - Aloo, Gobi","Subji - உருளைக்கிழங்கு, கோபி"
"Subji - Aloo, Gobi Masala","Subji - உருளைக்கிழங்கு, கோபி மசாலா"
"Subji - Aloo, Methi Malai","Subji - உருளைக்கிழங்கு, வெந்தயக்கீரை மலாய்"
Subji - Baingan Ka Salan,Subji - கத்தரிக்காய் சலான்
Subji - Baingan Ka Salan Tempering,Subji - கத்தரிக்காய் சலான் தாளிப்பு
Subji - Biriyani Brinjal,Subji - பிரியாணி கத்தரிக்காய்
Subji - Chalna,Subji - சால்னா
Subji - Chalna Aravai,Subji - சால்னா அரைவை
Subji - Channa Usal Aravai,Subji - சென்னா உசால் அரைவை
Subji - Channa usal,Subji - சென்னா உசால்
Subji - Corn Palak,Subji - கார்ன் பாலக்
"Subji - Corn, Methi Malai","Subji - கார்ன், வெந்தயக்கீரை மலாய்"
Subji - Dahi Pyaaz Tikhari,Subji - தயிர் வெங்காயம் திக்காரி
Subji - Dahi Pyaaz Tikhari Aravai,Subji - தயிர் வெங்காயம் திக்காரி அரைவை
Subji - Dahi Shimla Mirch,Subji - தயிர் சிம்லா மிளகாய்
Subji - Diwani Handi,Subji - திவானி ஹான்டி
Subji - Do Pyaza Bindi,Subji - தோ பியாசா வெண்டைக்காய்
Subji - Do Pyaza Gravy,Subji - தோ பியாசா கிரேவி
Subji - Do Pyaza Veg,Subji - தோ பியாசா காய்கறி
Subji - Greengram Kadaiyal,Subji - பாசிப்பயறு கடையல்
Subji - Greengram Kadaiyal Aravai,Subji - பாசிப்பயறு கடையல் அரைவை
Subji - Greengram Kadaiyal Tempering,Subji - பாசிப்பயறு கடையல் தாளிப்பு
Subji - Kadai Veg,Subji - கடாய் காய்கறி
Subji - Kadai Veg. Gravy Aravai,Subji - கடாய் Veg. கிரேவி அரைவை
Subji - Kumbakona Kadappa Tempering,Subji - கும்பகோணம் கடப்பா தாளிப்பு
Subji - Lauki,Subji - சுரைக்காய்
Subji - Madras Veg Curry,Subji - மெட்ராஸ் காய்கறி கறி
Subji - Madras Veg Curry Thalippu,Subji - மெட்ராஸ் காய்கறி கறி தாளிப்பு
Subji - Malai Kofha Balls,Subji - மலாய் கோஃப்தா உருண்டை
Subji - Malai Koftha Gravy,Subji - மலாய் கோஃப்தா கிரேவி
Subji - Methi Dal Subji,Subji - வெந்தயக்கீரை பருப்பு சப்ஜி
Subji - Methi Malai Gravy,Subji - வெந்தயக்கீரை மலாய் கிரேவி
Subji - Methi Malai Mutter,Subji - வெந்தயக்கீரை மலாய் பட்டாணி
Subji - Methi Malai Mutter Paneer,Subji - வெந்தயக்கீரை மலாய் பட்டாணி பன்னீர்
Subji - Mushroom Butter Masala,Subji - காளான் வெண்ணெய் மசாலா
Subji - Mushroom Gravy,Subji - காளான் கிரேவி
Subji - Online Kadai Veg,Subji - ஆன்லைன் கடாய் காய்கறி
Subji - Palak Gravy,Subji - பாலக் கிரேவி
Subji - Palak Paneer,Subji - பாலக் பன்னீர்
Subji - Paneer Butter Masala Aravai,Subji - பன்னீர் வெண்ணெய் மசாலா அரைவை
"Subji - Paneer, Capsicum Gravy","Subji - பன்னீர், குடைமிளகாய் கிரேவி"
Subji - Panner Butter Masala,Subji - பன்னீர் வெண்ணெய் மசாலா
Subji - Pattani Masala,Subji - பட்டாணி மசாலா
Subji - Pindi Chole,Subji - பிண்டி சோலே
Subji - Pindi Chole Gravy,Subji - பிண்டி சோலே கிரேவி
Subji - Pindi Rajma,Subji - பிண்டி ராஜ்மா
Subji - Potato Stew,Subji - உருளைக்கிழங்கு ஸ்டூ
Subji - Soya Bhurtha,Subji - சோயா பர்த்தா
Subji - Soya Kheema,Subji - சோயா கீமா
Subji - Subz Panchamel,Subji - சப்ஜி பஞ்சமேல்
Subji - Veg Kolhapuri,Subji - காய்கறி கோலாப்பூரி
Subji - Veg Kolhapuri Aravai,Subji - காய்கறி கோலாப்பூரி அரைவை
Subji - Veg Tikka Masala Gravy,Subji - காய்கறி டிக்கா மசாலா கிரேவி
Subji - Veg Tikka Masala Veg,Subji - காய்கறி டிக்கா மசாலா காய்கறி
"Subji- Onion,Tomato Thokku","Subji - வெங்காயம்,தக்காளி தொக்கு"
Subji- Pancharatna Gravy Aravai,Subji - பஞ்சரத்னா கிரேவி அரைவை
"Subji-Aloo,Capsicum curry","Subji - உருளைக்கிழங்கு,குடைமிளகாய் கறி"
Subji-Baingan Burtha,Subji - கத்தரிக்காய் பர்த்தா
Subji-Black Eyed Beans in Gravy,Subji - கருப்பு காராமணி பீன்ஸ் இல் கிரேவி
"Subji-Capsicum,Peanut Curry","Subji - குடைமிளகாய்,வேர்க்கடலை கறி"
Subji-Channa Masala Basic Gravy,Subji - சென்னா மசாலா அடிப்படை கிரேவி
Subji-Channa masala,Subji - சென்னா மசாலா
"Subji-Corn, capsicum Curry","Subji - கார்ன், குடைமிளகாய் கறி"
Subji-Kadai Paneer,Subji - கடாய் பன்னீர்
Subji-Pancharathna Gravy,Subji - பஞ்சரத்னா கிரேவி
Subji-Poori Masala,Subji - பூரி மசாலா
Subji-Poori Masala Seasoning,Subji - பூரி மசாலா தாளிப்பு
Subji-Salna,Subji - சால்னா
Subji-Salna Aravai,Subji - சால்னா அரைவை
Sugarcane Plate 8 inch,கரும்பு தட்டு 8 இன்ச்
Sundal - Beach Nilakadalai,Sundal - பீச் நிலக்கடலை
Sundal - Mixed Sundal,Sundal - கலவை சுண்டல்
Sundal - Pasipayaru Sundal,Sundal - பாசிப்பயறு சுண்டல்
Sundal - Pattani Sundal,Sundal - பட்டாணி சுண்டல்
Sundal - Vellai Karamani Sundal,Sundal - வெள்ளை காராமணி சுண்டல்
Sundal- White Channa Sundal,Sundal - வெள்ளை சென்னா சுண்டல்
Sundal-Black Channa Sundal,Sundal - கருப்பு சென்னா சுண்டல்
Sundal-Black Channa Sundal(New),Sundal - கருப்பு சென்னா சுண்டல்(புதிய)
Sundal-Kadalai Paruppu,Sundal - கடலை பருப்பு
Sundal-Karamani Sweet Sundal,Sundal - காராமணி இனிப்பு சுண்டல்
Sundal-Lobia Sundal,Sundal - காராமணி சுண்டல்
Sundal-Nilakadalai Sundal,Sundal - நிலக்கடலை சுண்டல்
"Sundal-Pattani, Mango Sundal","Sundal - பட்டாணி, மாங்காய் சுண்டல்"
Sundal-Sprouts Sundal,Sundal - முளைகட்டிய பயறு சுண்டல்
"Sundal-W.Channa,Mango Sundal","Sundal - W.Channa,மாங்காய் சுண்டல்"
Sw-BS-Ukkarai,Sw-BS - உக்காரை
Sweet Idiyappam,இனிப்பு இடியாப்பம்
Tanishq Channa Masala (Snack),தனிஷ்க் சென்னா மசாலா (சிற்றுண்டி)
Tanishq Pattani Masala,தனிஷ்க் பட்டாணி மசாலா
